year	details
2019	15-ICML Travel Award for Top 10-ranked Abstract
2013	SFU Faculty of Science Graduate Teaching Assistant Award
2013	Brandhorst Graduate Prize for Best Publication by an MBB Graduate Student
2013	SFU Graduate Student Research Award
2013	Bruce Brandhorst Graduate Award – Best Oral Presentation
2010-2012	NSERC Alexander Graham Bell Canada Graduate Scholarship – Doctoral
2012	IODE Seaman Morley Scott Memorial Graduate Scholarship
2012	Phyllis Carter Burr Graduate Scholarship in Developmental Biology and Cell Biology
2012	SFU Graduate Fellowship
2011	SFU President’s Research Stipend
2008-2010	NSERC Alexander Graham Bell Canada Graduate Scholarship – Masters
